id,name,party,sector,country,episode
ul,Ursula von der Leyen,CDU,Politik,Deutschland,500
lk,Lars Klingbeil,SPD,Politik,Deutschland,500
sw,Sahra Wagenknecht,Die Linke,Politk,Deutschland,500
cs,Constanze Stelzenmüller,,Recht,Deutschland,500
cl,Christian Lindner,FDP,Politk,Deutschland,501
nr,Norbert Röttgen,CDU,Politik,Deutschland,501
ks,Karl Schlögel,,Geschichte,Deutschland,501
lm,Ljudmyla Melnyk,,Wissenschaft,Ukraine,501
kd,Kristina Dunz,,Journalismus,Deutschland,501
el,Egils Levits,,Politik,Lettland,501
ab,Annalena Baerbock,Bündnis 90/​Die Grünen,Politik,Deutschland,502
ft,Frans Timmermans,,Politik,Deutschland,502
am,Andrij Melnyk,,Politik,Ukraine,502
al,Alexander Graf Lambsdorff,FDP,Politk,Deutschland,502
er,Egon Ramms,,Bundeswehr,Deutschland,502
rb,Robert Habeck,Bündnis 90/Die Grünen,Politik,Deutschland,503
cm,Claudia Major,,Politik,Deutschland,503
kp,Katja Petrowskaja,,Journalismus,Deutschland,503
rk,Roderich Kiesewetter,CDU,Politik,Deutschland,503
cl_2,Christine Lambrecht,SPD,Politik,Deutschland,504
sb,Stefanie Babst,,Politik,Deutschland,504
ch,Christop Heugsen,,Sicherheit,Deutschland,504
mw,Marina Weisband,,Journalismus,Deutschland,504
500,Folge 500,,,,
501,Folge 501,,,,
502,Folge 502,,,,
503,Folge 503,,,,
504,Folge 504,,,,
